"query_id","blinded_candidate_id","reference_id","v1_presence","v2_presence","v1_bm25_rank","v1_bm25_score","v1_bm25_best_chunk_id","v1_dense_rank","v1_dense_score","v1_dense_best_chunk_id","v1_hybrid_rank","v1_hybrid_score","v1_hybrid_best_chunk_id","v2_bm25_rank","v2_bm25_score","v2_bm25_best_chunk_id","v2_dense_rank","v2_dense_score","v2_dense_best_chunk_id","v2_hybrid_rank","v2_hybrid_score","v2_hybrid_best_chunk_id","selected_evidence_chunk_ids","selected_evidence_source_versions","pool_inclusion_reason","filter_eligibility","deterministic_random_order_key"
"DEV-001","DEV-001-C01","de2039c469393234a54e9902733b9c7d93092802cc6391084944b6db5fe714ba","False","True","","","","","","","","","","","","","7","0.8176830410957336","7b98a9e7efa658f016362da93a7eca68c9d924495413c9e95fe42cf2d620886a","13","0.009055042639374733","7b98a9e7efa658f016362da93a7eca68c9d924495413c9e95fe42cf2d620886a","7b98a9e7efa658f016362da93a7eca68c9d924495413c9e95fe42cf2d620886a;e9945759d8098d7241cc13630c5b6db31d8b4253afd925f24ccea36a9e3a874e","v2;v1","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","0041e25e11c6017ca2e92a9ecb356c825b2bd834be84569ceeb03c140cb49fd6"
"DEV-001","DEV-001-C02","d8fef5786f43462f69d3dd4981a6a1abd593d6c608c2e5abca0148c4a8518389","True","True","7","7.253788471221924","14c07e261324f8ad7afb3f5540d94f248683694073e73bc7647c38b1bc3b1d27","","","","10","0.008829955011606216","14c07e261324f8ad7afb3f5540d94f248683694073e73bc7647c38b1bc3b1d27","5","9.197946548461914","14c07e261324f8ad7afb3f5540d94f248683694073e73bc7647c38b1bc3b1d27","","","","5","0.012404870241880417","3e4c860876a0fbae4537de94298f0b6ba21fbea124e15ac80444194c2a8a127b","343c9888deb6b478677e5adf974560880ed824d78c46bf1777f148e2e2011695;14c07e261324f8ad7afb3f5540d94f248683694073e73bc7647c38b1bc3b1d27","v1;v1","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","10dbd5b99934cfe9bda9a01e406dadd3f5459570431d713997aa1675aa27db80"
"DEV-001","DEV-001-C03","85727d1de009de76cb4bd50624b1cbfbc1d090d0e1a6c1a80caad0300761701f","True","False","10","5.443779468536377","e69a453711731eb9aff99aaca32ca8a1ff4b7dfca220a1c76d3f870b363046be","","","","15","0.007230880670249462","e69a453711731eb9aff99aaca32ca8a1ff4b7dfca220a1c76d3f870b363046be","","","","","","","","","","074b216ed4e4659b252881d5365dd5e953fd4844fec676551cd21bafa920195e;dda30ea1fc9076e1f794a02d2d32c078cdd7e32c1a353559893ded1b5e526315","v2;v1","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","1406cff250fc61e8d0dd1f994b9ed4daf2ef194aeda748cd8a25130616ea4113"
"DEV-001","DEV-001-C04","e5d39000071b4c5c2f1170fcbce4de576b4fe8643cd125a1a82df9d0da3e82bd","True","True","4","10.895219802856445","2b4aab8c7b33a98cc213378479c68100332083da59ca1806d0128411b61bafd1","2","0.824968695640564","2b4aab8c7b33a98cc213378479c68100332083da59ca1806d0128411b61bafd1","1","0.015527201816439629","2b4aab8c7b33a98cc213378479c68100332083da59ca1806d0128411b61bafd1","4","9.49950885772705","0ff510c9fd2989eed57a8ad539e000c4ee6de149566670149b96d3483dadf23e","1","0.8341860771179199","0ff510c9fd2989eed57a8ad539e000c4ee6de149566670149b96d3483dadf23e","1","0.015339577570557594","0ff510c9fd2989eed57a8ad539e000c4ee6de149566670149b96d3483dadf23e","0ff510c9fd2989eed57a8ad539e000c4ee6de149566670149b96d3483dadf23e","v2","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","1a561de16bde9bd759b111ff31220bfd6e361c5e73a21d6d8aa9cb8def48e4f8"
"DEV-001","DEV-001-C05","3e1724acc7db40dcc0f25f09ff32549fc6f9a1f679cf111c6537c23b8075a0e3","True","True","1","19.2773380279541","14ab6b973703c1d2e930293bfd61d7465ffa6b0009586249d23d0213a41e319e","1","0.8260795474052429","94eb40ebcae2bfb153d652ade4cd38757564e68b1026216bc7b956a2bbe102b8","2","0.015238974243402481","14ab6b973703c1d2e930293bfd61d7465ffa6b0009586249d23d0213a41e319e","1","19.182788848876953","14ab6b973703c1d2e930293bfd61d7465ffa6b0009586249d23d0213a41e319e","5","0.8200840950012207","3abd8239b77ec74cd94b0f4a6b3ce2976d547e1561a503bdd0ac76684bfd5699","2","0.014854753389954567","3abd8239b77ec74cd94b0f4a6b3ce2976d547e1561a503bdd0ac76684bfd5699","f715b77bc5545f3c595ae518dd69cb7823d61d053afbfd37b422d172f8dd354d;6b0d41539d2b6b07c4440097b50e878da5cc879f4afa29728d63923b976a0df8","v1;v2","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","21e6a5f1cfcb73836c56abcbcb8f2330f1a62581ef450620f22697998287dcbb"
"DEV-001","DEV-001-C06","9b1c8215f591cf0bbf19b2ecd69cfdb8e8d59fae42503881a492dcf0e499e81c","True","False","","","","9","0.8111658096313477","213393d350ae4a9853a89f57e68ab99626641f0f71351a77eb91ee9b67f4e8fc","","","","","","","","","","","","","6008456ef59ace79d0f5e017eaf40838a26a5aa90f2e285892e0445ef0759207;f63c24b358e548c5ddf4e0a59be3d815dd4bb167e8df654c48bb3684a0e6fecd","v2;v1","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","447b8707e205d414c5ce287c159e422bb6f0076c18c6da173800c331bafcf802"
"DEV-001","DEV-001-C07","6cbd13b41ebff0b784ab86bdc930b52b2fe2a5726d4ed1c0d54c368499f1faf6","True","False","","","","7","0.8111658096313477","213393d350ae4a9853a89f57e68ab99626641f0f71351a77eb91ee9b67f4e8fc","","","","","","","","","","","","","6008456ef59ace79d0f5e017eaf40838a26a5aa90f2e285892e0445ef0759207;f63c24b358e548c5ddf4e0a59be3d815dd4bb167e8df654c48bb3684a0e6fecd","v2;v1","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","689e8eb566da1d83a53b1818f5337fbe6045cee0c4faadcfb493ecee9efb9602"
"DEV-001","DEV-001-C08","e26894d3bc2aff6173b4fd7039c5b6d9c60007a56c2ef8930b34c3d111bc0c2c","True","True","3","12.762609481811523","afc7e8ebfff90120facd32f6e67a346ff7699678f5016c70f5a6001fb98ee878","","","","8","0.009225922636687756","8f2de777e36c3ad1534233769145b7c16b7ac5f2377ee4e196acd40293d0de6f","2","13.106527328491211","afc7e8ebfff90120facd32f6e67a346ff7699678f5016c70f5a6001fb98ee878","9","0.8157598972320557","8f2de777e36c3ad1534233769145b7c16b7ac5f2377ee4e196acd40293d0de6f","3","0.014822134748101234","8f2de777e36c3ad1534233769145b7c16b7ac5f2377ee4e196acd40293d0de6f","7dda7a74dda5321f33b238ceb2bb92eb50e48975cd757a1676097ed8a04c9532;e1f97244b3b7e3da40f6e41c3667978a9b703a5dc0d48ff8694f33894f0e2e31","v2;v2","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","7294e2d9281be38f3385ae4114acff29017f81bcddd71d7ce4324c2e8de729ad"
"DEV-001","DEV-001-C09","7cc8c30eecef9d564c2024f8e7087652254db17de5dfb817a9f991803e278787","True","False","","","","8","0.8111658096313477","213393d350ae4a9853a89f57e68ab99626641f0f71351a77eb91ee9b67f4e8fc","","","","","","","","","","","","","6008456ef59ace79d0f5e017eaf40838a26a5aa90f2e285892e0445ef0759207;f63c24b358e548c5ddf4e0a59be3d815dd4bb167e8df654c48bb3684a0e6fecd","v2;v1","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","780d9fecc742c4b5cb5858bc94ab51935b7ae8850564b7750029c9c9a6940022"
"DEV-001","DEV-001-C10","e0cb887c798a4523d95f98661a48e7f223eef521963b3cf8a18082f2a9d3192b","False","True","","","","","","","","","","","","","3","0.8314386606216431","529c64c12d8d7e8c3a4c3721699e063c60f351ea087ceaa5875f0b60a09f1cd2","7","0.011249229311943054","529c64c12d8d7e8c3a4c3721699e063c60f351ea087ceaa5875f0b60a09f1cd2","fde206ef424e4f3fe9b86c2200e0571e90535015fd7c744d0df8cc5d7ff3cbb7;09f17504a5f6bcc2dfcef177b33bdaed88d4ddd52f325deca282dba88367bab9","v2;v2","DETERMINISTIC_MULTI_SYSTEM_UNION_PRIORITY","True","79f3b471117fd9422a877046f7d4b5cc6b831800c1a5066cf6ff4d3196294d01"
